"","Depth","Day","Mesocosm","total_L","Class","Compound"
"4137",1,12,5,35.062277825618,"DGDG","DGDG-34:3"
"4138",1,12,5,130.535471119773,"MGDG","MGDG-32:0"
"4139",1,12,5,17.8331475326153,"MGDG","MGDG-32:2"
"4140",1,12,5,144.591367846792,"MGDG","MGDG-30:1"
"4141",1,12,5,244.583467904316,"MGDG","MGDG-28:0"
"4142",1,12,5,22.8928287880754,"MGDG","MGDG-34:1"
"4143",1,12,5,55.1628982551035,"MGDG","MGDG-34:0"
"4144",1,12,5,45.8656043107306,"MGDG","MGDG-32:1"
"4145",1,12,5,425.994112629106,"MGDG","MGDG-30:0"
"4146",1,12,5,12.8782511142297,"MGDG","MGDG-30:3"
"4147",1,12,5,4.03100615681548,"MGDG","MGDG-28:1"
"4148",1,12,5,37.9940174495599,"MGDG","MGDG-30:2"
"4149",1,12,5,3.06118719343921,"MGDG","MGDG-36:5"
"4150",1,12,5,0.716726141875615,"Other","Gly-Cer-36:1"
"4151",1,12,5,8.85710206438013,"PC","PC-30:0"
"4152",1,12,5,4.34359038446825,"PC","PC-28:0"
"4153",1,12,5,0.678813499531228,"PC","PC-32:1"
"4154",1,12,5,4.61608245352811,"PC","PC-32:0"
"4155",1,12,5,0.810505429957602,"PC","PC-36:2"
"4156",1,12,5,1.13920067488355,"PC","PC-34:1"
"4157",1,12,5,5.99112447845569,"PE","PE-DAG-34:2"
"4158",1,12,5,0.5383121129796,"PE","PE-DAG-32:1"
"4159",1,12,5,0.702499666763121,"PE","PE-DAG-34:1"
"4160",1,12,5,0.886001510838226,"PE","PE-DAG-28:0"
"4161",1,12,5,59.7986416907622,"PG","PG-DAG-36:5"
"4162",1,12,5,160.158873289823,"PG","PG-DAG-34:1"
"4163",1,12,5,582.043984903137,"PG","PG-DAG-36:2"
"4164",1,12,5,334.701507484155,"PG","PG-DAG-36:1"
"4165",1,12,5,121.045336015983,"PG","PG-DAG-34:3"
"4166",1,12,5,45.3471929837327,"PG","PG-DAG-32:1"
"4167",1,12,5,205.089858296358,"PG","PG-DAG-34:2"
"4168",1,12,5,526.488826653644,"PG","PG-DAG-32:0"
"4169",1,12,5,8.84995729666028,"PG","PG-DAG-30:1"
"4170",1,12,5,345.914708625639,"PG","PG-DAG-30:0"
"4171",1,12,5,26.9031533488162,"SQ","SQDG-34:0"
"4172",1,12,5,2.87111516550054,"SQ","SQDG-34:1"
"4173",1,12,5,3.98534054487973,"SQ","SQDG-34:2"
"4174",1,12,5,1.65928352360394,"SQ","SQDG-34:4"
"4175",1,12,5,319.084575447704,"SQ","SQDG-30:0"
"4176",1,12,5,11.1564302145288,"SQ","SQDG-32:1"
"4177",1,12,5,9.73624189050633,"SQ","SQDG-32:2"
"4178",1,12,5,1.43617694093781,"SQ","SQDG-38:3"
"4179",1,12,5,28.9939001372122,"SQ","SQDG-34:3"
"4180",1,12,5,41.3149760754241,"SQ","SQDG-30:1"
"4181",1,12,5,149.185999470045,"SQ","SQDG-32:0"
"4182",1,12,5,2.36487013436145,"SQ","SQDG-36:0"
"4183",1,12,5,141.643409583834,"SQ","SQDG-28:0"
"4184",1,16,5,93.322710548169,"BL","DGCC-38:6"
"4185",1,16,5,9.35715342989866,"BL","DGTA-38:6"
"4186",1,16,5,238.56137204841,"BL","DGCC-32:0"
"4187",1,16,5,3.75847172845573,"BL","DGTS-32:0"
"4188",1,16,5,0.962748620152194,"BL","DGTA-44:12"
"4189",1,16,5,8.49217183066962,"BL","DGCC-28:0"
"4190",1,16,5,4.33796726369991,"BL","DGTA-34:2"
"4191",1,16,5,4.86249234607555,"BL","DGTA-34:1"
"4192",1,16,5,0.630335736447986,"BL","DGTS-36:3"
"4193",1,16,5,3.56876811864985,"BL","DGTS-36:2"
"4194",1,16,5,1.94789727019985,"BL","DGTS-32:3"
"4195",1,16,5,4.73958424031311,"BL","DGTS-30:0"
"4196",1,16,5,4.01909546762078,"BL","DGTS-28:0"
"4197",1,16,5,3.63236887942419,"BL","DGTS-32:4"
"4198",1,16,5,3.64363078421111,"BL","DGTS-34:1"
"4199",1,16,5,7.84113675618812,"BL","DGTS-34:0"
"4200",1,16,5,8.3030912111458,"BL","DGTS-32:1"
"4201",1,16,5,2.85976732767767,"BL","DGCC-36:6"
"4202",1,16,5,1.91703674584166,"BL","DGTS-32:2"
"4203",1,16,5,4.73665751585173,"BL","DGTS-30:1"
"4204",1,16,5,6.0753020023428,"BL","DGTA-32:1"
"4205",1,16,5,9.29144074229785,"BL","DGTA-30:1"
"4206",1,16,5,0.435496292962142,"BL","DGTA-42:11"
"4207",1,16,5,3.40419587544405,"BL","DGTA-34:4"
"4208",1,16,5,42.4212164096606,"BL","DGCC-30:0"
"4209",1,16,5,0.428296612165491,"BL","DGTS-38:0"
"4210",1,16,5,1.65555729013975,"BL","DGTS-28:1"
"4211",1,16,5,6.56472327022888,"BL","DGTA-28:0"
"4212",1,16,5,1.02415101291971,"BL","DGTS-34:3"
"4213",1,16,5,1.05344792373746,"BL","DGTA-34:5"
"4214",1,16,5,5.38461702336602,"BL","DGTA-32:2"
"4215",1,16,5,7.82870303634684,"BL","DGTA-30:0"
"4216",1,16,5,1.82615535314275,"BL","DGTS-34:2"
"4217",1,16,5,16.9148981469088,"BL","DGTA-36:2"
"4218",1,16,5,2.70329549259751,"BL","DGTA-36:6"
"4219",1,16,5,20.3450046099071,"DGDG","DGDG-36:0"
"4220",1,16,5,278.087354181389,"DGDG","DGDG-32:1"
"4221",1,16,5,154.855246440866,"DGDG","DGDG-34:4"
"4222",1,16,5,1.29948765038326,"DGDG","DGDG-32:6"
"4223",1,16,5,24.4370393583315,"DGDG","DGDG-34:7"
"4224",1,16,5,44.3517220943811,"DGDG","DGDG-34:2"
"4225",1,16,5,283.301861867469,"DGDG","DGDG-32:0"
"4226",1,16,5,22.6268792767315,"DGDG","DGDG-34:6"
"4227",1,16,5,259.166664653399,"DGDG","DGDG-34:5"
"4228",1,16,5,79.0678702799807,"DGDG","DGDG-34:1"
"4229",1,16,5,432.484845931844,"DGDG","DGDG-32:4"
"4230",1,16,5,256.4159972398,"DGDG","DGDG-30:0"
"4231",1,16,5,59.254315619153,"DGDG","DGDG-34:3"
"4232",1,16,5,118.07717309394,"DGDG","DGDG-32:5"
"4233",1,16,5,100.097315546666,"DGDG","DGDG-34:0"
"4234",1,16,5,20.6405972663742,"DGDG","DGDG-32:2"
"4235",1,16,5,19.7021189888537,"DGDG","DGDG-28:0"
"4236",1,16,5,70.0848894484718,"MGDG","MGDG-36:8"
"4237",1,16,5,14.0651202329159,"MGDG","MGDG-36:4"
"4238",1,16,5,75.177571972276,"MGDG","MGDG-32:1"
"4239",1,16,5,30.8749161549358,"MGDG","MGDG-32:2"
"4240",1,16,5,47.9394987178104,"MGDG","MGDG-30:2"
"4241",1,16,5,0.416081792406467,"MGDG","MGDG-36:0"
"4242",1,16,5,284.593583965735,"MGDG","MGDG-36:10"
"4243",1,16,5,332.710805843239,"MGDG","MGDG-30:1"
"4244",1,16,5,63.0720690871545,"MGDG","MGDG-34:5"
"4245",1,16,5,215.583617872249,"MGDG","MGDG-32:0"
"4246",1,16,5,176.615707138992,"MGDG","MGDG-30:0"
"4247",1,16,5,65.185290489851,"MGDG","MGDG-36:5"
"4248",1,16,5,59.8274503280102,"MGDG","MGDG-34:1"
"4249",1,16,5,22.9885353713142,"MGDG","MGDG-36:2"
"4250",1,16,5,175.016198701753,"MGDG","MGDG-28:0"
"4251",1,16,5,24.8510444534776,"MGDG","MGDG-34:7"
"4252",1,16,5,1013.75817674825,"MGDG","MGDG-36:9"
"4253",1,16,5,153.872698589619,"MGDG","MGDG-34:0"
"4254",1,16,5,25.3319014026534,"MGDG","MGDG-28:1"
"4255",1,16,5,12.7639740549444,"MGDG","MGDG-30:3"
"4256",1,16,5,2.69516782070679,"Other","PI-DAG-38:6"
"4257",1,16,5,0.773866779930452,"Other","Gly-Cer-36:1"
"4258",1,16,5,1.75936852051711,"Other","PI-DAG-38:5"
"4259",1,16,5,29.4983158656982,"PC","PC-36:2"
"4260",1,16,5,47.9954322479861,"PC","PC-34:1"
"4261",1,16,5,0.622554634013358,"PC","PC-38:5"
"4262",1,16,5,21.8637103252251,"PC","PC-32:1"
"4263",1,16,5,9.99756196961307,"PC","PC-30:1"
"4264",1,16,5,4.57521252426686,"PC","PC-34:4"
